data_source,platform,address_id,city,neighborhood,zone_type,lat,lon,product_name,item_price_mxn,delivery_fee_mxn,service_fee_mxn,total_checkout_mxn,eta_minutes,promotions_visible,store_available,scraped_at
synthetic_demo,rappi,MX_CDMX_01,Ciudad de México,Roma Norte,urban_core,19.4194,-99.1556,Combo Big Mac,175.84,28.17,16.16,220.17,40,Ninguna visible,True,2026-04-01T01:51:10Z
synthetic_demo,rappi,MX_CDMX_01,Ciudad de México,Roma Norte,urban_core,19.4194,-99.1556,Coca-Cola 600ml,174.54,38.58,6.67,207.79,33,Envío gratis pedido mínimo,True,2026-04-01T01:51:10Z
synthetic_demo,rappi,MX_CDMX_01,Ciudad de México,Roma Norte,urban_core,19.4194,-99.1556,McNuggets 10 piezas,162.57,39.68,10.76,213.01,27,Envío gratis pedido mínimo,True,2026-04-01T01:51:10Z
synthetic_demo,uber_eats,MX_CDMX_01,Ciudad de México,Roma Norte,urban_core,19.4194,-99.1556,Combo Big Mac,177.76,31.23,13.67,217.66,33,Cupón zona,True,2026-04-01T01:51:10Z
synthetic_demo,uber_eats,MX_CDMX_01,Ciudad de México,Roma Norte,urban_core,19.4194,-99.1556,Coca-Cola 600ml,172.84,19.17,10.18,202.19,24,Ninguna visible,True,2026-04-01T01:51:10Z
synthetic_demo,uber_eats,MX_CDMX_01,Ciudad de México,Roma Norte,urban_core,19.4194,-99.1556,McNuggets 10 piezas,169.48,40.5,8.5,206.48,33,Envío gratis pedido mínimo,True,2026-04-01T01:51:10Z
synthetic_demo,didi_food,MX_CDMX_01,Ciudad de México,Roma Norte,urban_core,19.4194,-99.1556,Combo Big Mac,104.75,25.76,7.0,132.51,43,Envío gratis pedido mínimo,True,2026-04-01T01:51:10Z
synthetic_demo,didi_food,MX_CDMX_01,Ciudad de México,Roma Norte,urban_core,19.4194,-99.1556,Coca-Cola 600ml,160.08,21.45,13.92,195.45,47,Envío gratis pedido mínimo,True,2026-04-01T01:51:10Z
synthetic_demo,didi_food,MX_CDMX_01,Ciudad de México,Roma Norte,urban_core,19.4194,-99.1556,McNuggets 10 piezas,158.35,16.89,6.69,169.93,24,Descuento primera orden,True,2026-04-01T01:51:10Z
synthetic_demo,rappi,MX_CDMX_02,Ciudad de México,Polanco,urban_core,19.433,-99.195,Combo Big Mac,168.83,38.42,10.97,213.22,36,Ninguna visible,True,2026-04-01T01:51:10Z
synthetic_demo,rappi,MX_CDMX_02,Ciudad de México,Polanco,urban_core,19.433,-99.195,Coca-Cola 600ml,165.08,29.13,12.35,206.56,41,2x1 en bebidas,True,2026-04-01T01:51:10Z
synthetic_demo,rappi,MX_CDMX_02,Ciudad de México,Polanco,urban_core,19.433,-99.195,McNuggets 10 piezas,153.94,24.12,5.4,183.46,33,Ninguna visible,True,2026-04-01T01:51:10Z
synthetic_demo,uber_eats,MX_CDMX_02,Ciudad de México,Polanco,urban_core,19.433,-99.195,Combo Big Mac,180.34,20.26,5.3,193.9,31,Ninguna visible,True,2026-04-01T01:51:10Z
synthetic_demo,uber_eats,MX_CDMX_02,Ciudad de México,Polanco,urban_core,19.433,-99.195,Coca-Cola 600ml,150.7,35.44,12.55,198.69,34,Descuento primera orden,True,2026-04-01T01:51:10Z
synthetic_demo,uber_eats,MX_CDMX_02,Ciudad de México,Polanco,urban_core,19.433,-99.195,McNuggets 10 piezas,97.27,16.29,13.24,121.8,36,Ninguna visible,True,2026-04-01T01:51:10Z
